ProsperRating..Alpha.	year	ProsperScore	mean_apr	mean_yield	mean_amount	mean_return	n
E	2011	6	0.3492	0.287211111111111	4572.73015873016	0.1468	126
E	2011	7	0.3501	0.288121875	4683.65625	0.1517	32
E	2012	1	0.3438	0.279091245791246	3686.51515151515	0.1321	297
E	2012	2	0.3362	0.272676666666667	3775.73888888889	0.1318	180
E	2012	4	0.3303	0.263784444444444	4845.82222222222	0.1261	90
E	2012	5	0.3392	0.272187562189055	3918.65671641791	0.1275	201
E	2012	6	0.3388	0.273890476190476	3647.11196911197	0.1288	777
E	2012	7	0.3272	0.267775	5250	0.1365	4
E	2012	8	0.3354	0.270559493670886	3509.03164556962	0.1276	158
E	2012	9	0.3342	0.272078947368421	3736.84210526316	0.1301	19
E	2013	1	0.3104	0.241338125	5500	0.102	16
E	2013	2	0.3184	0.247060523640061	4027.58007117438	0.1112	1967
E	2013	4	0.3047	0.237620631067961	5947.97734627832	0.1062	618
E	2013	5	0.3108	0.242902094594595	4410.13513513513	0.1124	148
E	2013	6	0.3058	0.241144923076923	5186.15384615385	0.1122	65
E	2013	7	0.3076	0.242384615384615	4173.07692307692	0.1162	26
E	2013	8	0.3075	0.2473	4000	0.1248	1
E	2014	1	0.313	0.239965	7500	0.1	6
E	2014	2	0.3131	0.241188726287263	5540.27642276423	0.0995	369
E	2014	4	0.2884	0.22513595959596	7360.80808080808	0.0957	99
E	2014	5	0.2874	0.221446666666667	7666.66666666667	0.0948	6
E	2014	6	0.2734	0.21664	4000	0.0941	1
E	2014	7	0.3013	0.22987	10000	0.0974	1
HR	2009	1	0.3127	-0.0877	4175.79166666667	-0.0877	24
HR	2009	2	0.3244	0.0234789473684211	3145.36842105263	0.0235	19
HR	2009	4	0.3407	0.104308510638298	3132.95744680851	0.1043	47
HR	2009	5	0.3365	0.099487962962963	2780.86111111111	0.0995	108
HR	2010	1	0.3678	-0.036043023255814	3721.51162790698	-0.0573	86
HR	2010	2	0.36	0.0706579545454546	3186.64772727273	0.0516	88
HR	2010	4	0.3717	0.128177430555556	3045.83680555556	0.1218	288
HR	2010	5	0.3595	0.121493884892086	2904.56474820144	0.1168	278
HR	2010	6	0.3674	0.116186486486486	3178.10810810811	0.1162	37
HR	2011	1	0.3511	0.286686842105263	3430.08552631579	0.113	152
HR	2011	2	0.3549	0.28931339869281	3574.83006535948	0.1171	306
HR	2011	4	0.3544	0.288757327586207	3345.33189655172	0.1105	232
HR	2011	5	0.3546	0.288560975609756	3325.2256097561	0.1127	164
HR	2011	6	0.3564	0.2917	2975	0.0967	4
HR	2011	7	0.3564	0.2917	3666.66666666667	0.0967	3
HR	2012	1	0.3579	0.286352127659574	3797.87234042553	0.1197	94
HR	2012	2	0.3577	0.288451034482759	3539.10344827586	0.124	290
HR	2012	4	0.3579	0.287941943127962	3525.29462875197	0.1225	1266
HR	2012	5	0.3579	0.288026915887851	3522.46355140187	0.1228	1070
HR	2012	6	0.3579	0.285696407185629	3324.44311377246	0.1233	167
HR	2013	1	0.3474	0.270515714285714	3571.42857142857	0.1102	7
HR	2013	2	0.3495	0.272352854291417	3665.36926147705	0.1134	501
HR	2013	4	0.3507	0.273421547619048	3755.95238095238	0.1164	84
HR	2013	5	0.3532	0.275647428571429	3471.42857142857	0.1183	35
HR	2013	6	0.3536	0.276	3463.63636363636	0.1185	22
HR	2013	7	0.3536	0.275998823529412	3576.47058823529	0.1182	17
HR	2013	8	0.3536	0.276	3583.33333333333	0.1185	9
HR	2013	9	0.3536	0.276	3333.33333333333	0.1185	9
HR	2013	10	0.3536	0.276	3833.33333333333	0.1185	3
HR	2014	1	0.3366	0.26069	4000	0.1032	2
HR	2014	2	0.3389	0.262765862068966	3680.1724137931	0.1049	58
HR	2014	4	0.332	0.25681	4000	0.1043	3
